"FileName","Hash"
"C:\Windows\System32\69fe178f-26e7-43a9-aa7d-2b616b672dde_eventlogservice.dll","AA22ACA4AF887A2C3859F19B037D044C"
"C:\Windows\System32\6bea57fb-8dfb-4177-9ae8-42e8b3529933_RuntimeDeviceInstall.dll","C20B9D20821988CA2EE4425E114D6E30"
"C:\Windows\System32\@AdvancedKeySettingsNotification.png","C652A5EA6545C98CE71684018E0640E7"
"C:\Windows\System32\@AppHelpToast.png","D6F8DD9F561B8A67FFAC2BAD7E989770"
"C:\Windows\System32\@AudioToastIcon.png","82C37C3E27020AF6C2E018E944284676"
"C:\Windows\System32\@BackgroundAccessToastIcon.png","8E4B25CC8E98F63DBD54176DFAB539E0"
"C:\Windows\System32\@bitlockertoastimage.png","3937359E324E15F6A7A7092D4DAEBD64"
"C:\Windows\System32\@edptoastimage.png","2E04FA797218711D9ED5958CD2B656AB"
"C:\Windows\System32\@EnrollmentToastIcon.png","495C1F072039B434827A5FE0D9761E4D"
"C:\Windows\System32\@language_notification_icon.png","C2A332DE50FE519DA21AFB8BD6E134F4"
"C:\Windows\System32\@optionalfeatures.png","A119D69B4C29845D3F8CE2E5638C8E65"
"C:\Windows\System32\@StorageSenseToastIcon.png","A3437673F5766635A8378F67645B81C0"
"C:\Windows\System32\@VpnToastIcon.png","1622DE67156496C78D6B7BE9B471645B"
"C:\Windows\System32\@windows-hello-V4.1.gif","79166EAF65485F1432DD72B72870026B"
"C:\Windows\System32\@WindowsHelloFaceToastIcon.png","13EF2C8D799F7B6E9D8E3D6BACB9C779"
"C:\Windows\System32\@WindowsUpdateToastIcon.contrast-black.png","F553B252FEC3134D4F5303D9B25298B3"
"C:\Windows\System32\@WindowsUpdateToastIcon.contrast-white.png","DAD405CBDE259DE527EBF71BCC28099C"
"C:\Windows\System32\@WindowsUpdateToastIcon.png","F553B252FEC3134D4F5303D9B25298B3"
"C:\Windows\System32\@WirelessDisplayToast.png","DB71001FC261F6685BE410527DAE3942"
"C:\Windows\System32\@WLOGO_48x48.png","147B047B46B79A91CC34499D4F89119E"
"C:\Windows\System32\aadauthhelper.dll","136058E77989B77D2F7A70BA2A90621A"
"C:\Windows\System32\aadcloudap.dll","97FC79C1EECA63CD9627D5E1D07E454E"
"C:\Windows\System32\aadjcsp.dll","C5CB3A7026CE5912B631FBFBB18B0D31"
"C:\Windows\System32\aadtb.dll","B1EA0E42A9E086E94DB8ED2ACA81A0E6"
"C:\Windows\System32\aadWamExtension.dll","3A38BF7309985C771DB5622CFF0BCCF8"
"C:\Windows\System32\AarSvc.dll","439278CCDD4A601E78ECC4B67E19A761"
"C:\Windows\System32\AboutSettingsHandlers.dll","5ABD9787F77D0F41B5F3FBBC3DBB6967"
"C:\Windows\System32\AboveLockAppHost.dll","5AD0FAF90E01C2AF6AF2F80AE066F287"
"C:\Windows\System32\accessibilitycpl.dll","CAA6447DAEC426AD5F3159488B1151B5"
"C:\Windows\System32\accountaccessor.dll","DEF8975296868AB8A9E4AFC182985F6A"
"C:\Windows\System32\AccountsRt.dll","DFCAB473CB9344EDB1C775A4BB8F3DF6"
"C:\Windows\System32\AcGenral.dll","6B611B0DCE15053BDC3ED35E11CAAA40"
"C:\Windows\System32\AcLayers.dll","F44197FBEDF78ED9C0641E663397ADA6"
"C:\Windows\System32\acledit.dll","7C2B65E0756E0DC59E0BE5D9EFD25DA0"
"C:\Windows\System32\aclui.dll","F883E9CA757B622B032FDCA5BF33D0DF"
"C:\Windows\System32\acmigration.dll","94773502964A0B14763CC05756A59A50"
"C:\Windows\System32\ACPBackgroundManagerPolicy.dll","13A4D24146BFCE2EB28DA451FED24876"
"C:\Windows\System32\acppage.dll","4C3FD708B5DCCBDA6125A8EF0191BAC3"
"C:\Windows\System32\acproxy.dll","1E997CFEB32F22E84B4EA3DB2EA66B56"
"C:\Windows\System32\AcSpecfc.dll","F94AA351A2D5693E9FD47BC02699604C"
"C:\Windows\System32\ActionCenter.dll","FEDD74D0894D4D32A1E0FE5B585FCCFE"
"C:\Windows\System32\ActionCenterCPL.dll","C97D664A977D30D72362AF9CB8944493"
"C:\Windows\System32\ActionQueue.dll","AAC8B18A373C9CE31D3E074A381D3A00"
"C:\Windows\System32\ActivationClient.dll","35A501747CE3031C033BDE8B3BA0713C"
"C:\Windows\System32\ActivationManager.dll","C8CE3B271BAC39E5611B889F75CBFB65"
"C:\Windows\System32\activeds.dll","B5E73263DC6630709F855CE04B32358E"
"C:\Windows\System32\activeds.tlb","DF7C52E21C3F7DCF135D7AB69F952358"
"C:\Windows\System32\ActiveHours.png","31A16C523B62500F83C82217F056A538"
"C:\Windows\System32\ActiveSyncCsp.dll","E0DD595817D14A6A262057CE9A38C809"
"C:\Windows\System32\ActiveSyncProvider.dll","E845AC66B7C5C0E525DE7A3BE02DEA56"
"C:\Windows\System32\actxprxy.dll","3866A383EDA746E63EF910930703977D"
"C:\Windows\System32\AcWinRT.dll","92518FCFC72E121851DC015F2C30C9C6"
"C:\Windows\System32\AcXtrnal.dll","E13544DD3A7944CC1220F3929B5D1DCA"
"C:\Windows\System32\AdaptiveCards.dll","333527D77A5A06C3B547F735D7762094"
"C:\Windows\System32\AddressParser.dll","E2887E970D3B90679712B93CADA32183"
"C:\Windows\System32\adhapi.dll","CF88982155D10E9FE3230A61015CC8EC"
"C:\Windows\System32\adhsvc.dll","5FE15D2362469870C717EA6EE9376D40"
"C:\Windows\System32\AdmTmpl.dll","83B1C1305A4BD2F8685E0942F6169122"
"C:\Windows\System32\adprovider.dll","015C17EEF28B0EAAA3C7188574AB3627"
"C:\Windows\System32\adrclient.dll","0E2F70E1DDD1E292BD5DE7C4C6F7712E"
"C:\Windows\System32\adsldp.dll","7B773BE60DC01D6A363E689B341794BF"
"C:\Windows\System32\adsldpc.dll","77BF6CC4909C1FDD642512213E5980DB"
"C:\Windows\System32\adsmsext.dll","594BDD08A448B2A0C821865A4D643781"
"C:\Windows\System32\adsnt.dll","C9D536B6DD95925303D734EF40834146"
"C:\Windows\System32\adtschema.dll","C2EE35D8FA31F5DAF1988387243D2818"
"C:\Windows\System32\AdvancedEmojiDS.dll","5FACFE28C8B847FD2BE0885AC7524F8A"
"C:\Windows\System32\advapi32.dll","7EBC4745686496918EF54660CB9640DE"
"C:\Windows\System32\advapi32res.dll","56454BED3820DE989B4B7342DFBC8FED"
"C:\Windows\System32\advpack.dll","B8E59E275FC4558FD9B63E82D11DDE87"
"C:\Windows\System32\aeevts.dll","D798DA6828ADEF05EE100D920291A7ED"
"C:\Windows\System32\aeinv.dll","B00AD717EC6A1C418FDDB4F1E2FE3B4F"
"C:\Windows\System32\aepic.dll","AEABEC26904C2D5EA0CD1DEB690B78D1"
"C:\Windows\System32\agentactivationruntime.dll","982FDAAF4B6E4FC9361CA32B8AF4F6A5"
"C:\Windows\System32\agentactivationruntimestarter.exe","A49C26AA0CADD994DE158F51CB7EEFBC"
"C:\Windows\System32\agentactivationruntimewindows.dll","52951788F7EA87C93EDBACC201AE0D1C"
"C:\Windows\System32\AgentService.exe","D68EE11C140F85561E2765721A0CEFCF"
"C:\Windows\System32\aitstatic.exe","64ED2D2C45644C1CD48904BF39E5E5F6"
"C:\Windows\System32\AJRouter.dll","526FE18DB976D9A1AE19FBC53FA690B1"
"C:\Windows\System32\alg.exe","551C155F4FCE82BBA4CC92E56F1ECB84"
"C:\Windows\System32\altspace.dll","7A56BE269CB3ADDE7ED81B4D00D50DAB"
"C:\Windows\System32\amcompat.tlb","59D4A594832430E7C91441E531816FF1"
"C:\Windows\System32\amsi.dll","335571FC8936677DC1942BFD2E14A8CF"
"C:\Windows\System32\amsiproxy.dll","C84B4D2F95200B4C4C2999449E5A9515"
"C:\Windows\System32\amstream.dll","5FAA9A16A80A30AEA474D0243C3ACBB1"
"C:\Windows\System32\Analog.Shell.Broker.dll","63CF533A8CE92DB8DC9A24FDAB5233DA"
"C:\Windows\System32\AnalogCommonProxyStub.dll","FDAAE16CC86F9D21BA71A1BD7A80F8BA"
"C:\Windows\System32\apds.dll","418C8B4D7549CB1E2C6483E2B2ACF086"
"C:\Windows\System32\APHostClient.dll","7CEA091B3C96073E154EBB663C786876"
"C:\Windows\System32\APHostRes.dll","320BBE0B9BF7917A84FB70B95D37B3DE"
"C:\Windows\System32\APHostService.dll","8BBF06E5B2A4E5A1A74230003F6AAAA7"
"C:\Windows\System32\apisampling.dll","6FC050A708A47460EC345C227CE106E7"
"C:\Windows\System32\ApiSetHost.AppExecutionAlias.dll","19C8917F6832B77DAFE1CE5E9E1C1A00"
"C:\Windows\System32\apisetschema.dll","AA029B3AAE21BA7D7A4A5E1CBAF8B6E2"
"C:\Windows\System32\APMon.dll","7B3AFDCC55C6E426E344009A68148956"
"C:\Windows\System32\APMonUI.dll","EFEACAC739C8D9A283F50D61ED03C87E"
"C:\Windows\System32\AppContracts.dll","572243910F7471B6272CA066A8CE9CA5"
"C:\Windows\System32\AppExtension.dll","5DE6A152682163A7E4DC810C8511412C"
"C:\Windows\System32\apphelp.dll","20001393B469DFFA4349E76E787ED83A"
"C:\Windows\System32\Apphlpdm.dll","00D1D26AC4D59E86B1155483317A5504"
"C:\Windows\System32\AppHostRegistrationVerifier.exe","9709FB202693DBEC05127519EE4B65A9"
